epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
0.00352 116.0154643 100 0.001611623619 0.002982792127 105.3384881 16.01546435 3.312490617 1.789762038 
0.00354 116.1064613 100 0.001620780571 0.00299973981 105.3688204 16.1064613 3.312490617 1.789762038 
0.00356 116.1974583 100 0.001629937524 0.003016687492 105.3991528 16.19745826 3.312490617 1.789762038 
0.00358 116.2884552 100 0.001639094476 0.003033635175 105.4294851 16.28845522 3.312490617 1.789762038 
0.0036 116.3794522 100 0.001648251429 0.003050582857 105.4598174 16.37945217 3.312490617 1.789762038 
0.00362 116.4704491 100 0.001657408381 0.00306753054 105.4901497 16.47044913 3.312490617 1.789762038 
0.00364 116.5614461 100 0.001666565333 0.003084478222 105.520482 16.56144609 3.312490617 1.789762038 
0.00366 116.652443 100 0.001675722286 0.003101425905 105.5508143 16.65244304 3.312490617 1.789762038 
0.00368 116.74344 100 0.001684879238 0.003118373587 105.5811467 16.74344 3.312490617 1.789762038 
0.0037 116.834437 100 0.00169403619 0.00313532127 105.611479 16.83443696 3.312490617 1.789762038 
0.00372 116.9254339 100 0.001703193143 0.003152268952 105.6418113 16.92543391 3.312490617 1.789762038 
0.00374 117.0164309 100 0.001712350095 0.003169216635 105.6721436 17.01643087 3.312490617 1.789762038 
0.00376 117.1074278 100 0.001721507048 0.003186164317 105.7024759 17.10742783 3.312490617 1.789762038 
0.00378 117.1984248 100 0.001730664 0.003203112 105.7328083 17.19842478 3.312490617 1.789762038 
0.0038 117.2894217 100 0.001739820952 0.003220059683 105.7631406 17.28942174 3.312490617 1.789762038 
0.00382 117.3804187 100 0.001748977905 0.003237007365 105.7934729 17.3804187 3.312490617 1.789762038 
0.00384 117.4714157 100 0.001758134857 0.003253955048 105.8238052 17.47141565 3.312490617 1.789762038 
0.00386 117.5624126 100 0.00176729181 0.00327090273 105.8541375 17.56241261 3.312490617 1.789762038 
0.00388 117.6534096 100 0.001776448762 0.003287850413 105.8844699 17.65340957 3.312490617 1.789762038 
0.0039 117.7444065 100 0.001785605714 0.003304798095 105.9148022 17.74440652 3.312490617 1.789762038 
0.00392 117.8354035 100 0.001794762667 0.003321745778 105.9451345 17.83540348 3.312490617 1.789762038 
0.00394 117.9264004 100 0.001803919619 0.00333869346 105.9754668 17.92640043 3.312490617 1.789762038 
0.00396 118.0173974 100 0.001813076571 0.003355641143 106.0057991 18.01739739 3.312490617 1.789762038 
0.00398 118.1083943 100 0.001822233524 0.003372588825 106.0361314 18.10839435 3.312490617 1.789762038 
0.004 118.1993913 100 0.001831390476 0.003389536508 106.0664638 18.1993913 3.312490617 1.789762038 
0.00402 118.2903883 100 0.001840547429 0.00340648419 106.0967961 18.29038826 3.312490617 1.789762038 
0.00404 118.3813852 100 0.001849704381 0.003423431873 106.1271284 18.38138522 3.312490617 1.789762038 
0.00406 118.4723822 100 0.001858861333 0.003440379556 106.1574607 18.47238217 3.312490617 1.789762038 
0.00408 118.5633791 100 0.001868018286 0.003457327238 106.187793 18.56337913 3.312490617 1.789762038 
